identifier,label,set
Q9H400,Cell.membrane,test
Q5I0E9,Cell.membrane,
P63033,Cell.membrane,
Q9NR71,Cell.membrane,
Q86XT9,Cell.membrane,
A2CI98,Cell.membrane,
O75326,Cell.membrane,
P93004,Cell.membrane,
Q96FE7,Cell.membrane,
P83456,Cell.membrane,test
Q9BSF0,Cell.membrane,
Q6QNK2,Cell.membrane,
Q708S7,Cell.membrane,
Q708S6,Cell.membrane,
O23507,Cell.membrane,
Q9GL77,Cell.membrane,test
P33527,Cell.membrane,
Q9NPI9,Cell.membrane,
Q708S8,Cell.membrane,
Q944M5,Cell.membrane,
Q03445,Cell.membrane,test
Q9Y4C2,Cell.membrane,
O93295,Cell.membrane,
P35525,Cell.membrane,test
Q9SD53,Cell.membrane,
Q80ZI2,Cell.membrane,
Q14524,Cell.membrane,
G5EBN9,Cell.membrane,
Q9XIM7,Cell.membrane,
P35523,Cell.membrane,test
M9MSG8,Cell.membrane,test
O54982,Cell.membrane,
Q24210,Cell.membrane,
Q9SVT8,Cell.membrane,
Q0VD83,Cell.membrane,test
D4AD53,Cell.membrane,
Q42438,Cell.membrane,
Q5QGZ9,Cell.membrane,
Q03770,Cell.membrane,
Q9GKE8,Cell.membrane,
Q86T26,Cell.membrane,test
Q8NCG7,Cell.membrane,
Q14246,Cell.membrane,
Q9TV66,Cell.membrane,
Q8GWJ6,Cell.membrane,
Q5VWK5,Cell.membrane,test
Q923X1,Cell.membrane,
Q8L8Z1,Cell.membrane,
Q949G3,Cell.membrane,
Q9C6K9,Cell.membrane,
Q70Z44,Cell.membrane,
D2K6F1,Cell.membrane,
Q9JI66,Cell.membrane,test
Q9LFB8,Cell.membrane,
Q02785,Cell.membrane,
Q9VWE0,Cell.membrane,
Q9D1N4,Cell.membrane,
Q8W4I7,Cell.membrane,
Q8K0H1,Cell.membrane,
P0DM40,Cell.membrane,test
P22462-2,Cell.membrane,
P22462-3,Cell.membrane,
G5EGT9,Cell.membrane,
Q9SAH0,Cell.membrane,
Q03614,Cell.membrane,
Q9UGT4,Cell.membrane,
Q8BWU1,Cell.membrane,
P25378,Cell.membrane,
Q9H244,Cell.membrane,
P38727,Cell.membrane,
P49238,Cell.membrane,
O24367,Cell.membrane,
Q96NR3,Cell.membrane,
P04775,Cell.membrane,
Q08733,Cell.membrane,
P25107,Cell.membrane,test
Q9BWV1,Cell.membrane,test
Q52085,Cell.membrane,
Q8RX77,Cell.membrane,
Q8IZS7,Cell.membrane,test
P11234,Cell.membrane,
Q9SKA9,Cell.membrane,
O80939,Cell.membrane,test
P08953,Cell.membrane,
Q8R4G0,Cell.membrane,
Q9LYU7,Cell.membrane,
Q2EG98,Cell.membrane,
Q9S752,Cell.membrane,
Q8C8C1,Cell.membrane,
Q5W7F1,Cell.membrane,
Q96285,Cell.membrane,test
Q9Y694,Cell.membrane,test
Q9JKB0,Cell.membrane,
Q5E930,Cell.membrane,test
Q6ZJ91,Cell.membrane,
P78348,Cell.membrane,
P30273,Cell.membrane,
O80662,Cell.membrane,
Q6GTX8,Cell.membrane,
Q9LVI6,Cell.membrane,
Q61088,Cell.membrane,
P43287,Cell.membrane,
P43286,Cell.membrane,
Q63344,Cell.membrane,
Q9Z258,Cell.membrane,test
Q969I6,Cell.membrane,
Q9ZV87,Cell.membrane,
P53379,Cell.membrane,
Q5ANA3,Cell.membrane,
Q8VCH2,Cell.membrane,
Q12256,Cell.membrane,
Q9C6B8,Cell.membrane,
P19327,Cell.membrane,
P28566,Cell.membrane,
P28565,Cell.membrane,
P28564,Cell.membrane,
Q07950,Cell.membrane,
P04919,Cell.membrane,test
Q8R456,Cell.membrane,
Q9UHI7,Cell.membrane,
P43353,Cell.membrane,
P22739,Cell.membrane,
P30530,Cell.membrane,
Q13641,Cell.membrane,
Q9UM73,Cell.membrane,
Q18PF5,Cell.membrane,
P07766,Cell.membrane,test
P63138,Cell.membrane,
A9ZSY3,Cell.membrane,
Q93373,Cell.membrane,test
P51172,Cell.membrane,
Q9LFH9,Cell.membrane,test
O81445,Cell.membrane,
Q12303,Cell.membrane,
O14931,Cell.membrane,
Q84M97,Cell.membrane,test
G5EG88,Cell.membrane,
Q9LSD8,Cell.membrane,
Q8L7E9,Cell.membrane,
O08603,Cell.membrane,
Q8L796,Cell.membrane,
O48814,Cell.membrane,test
Q8VYG0,Cell.membrane,
Q95QW4,Cell.membrane,
Q9ZWC8,Cell.membrane,
Q9LQL2,Cell.membrane,
Q86SQ4,Cell.membrane,
A2AR95,Cell.membrane,test
Q9H665,Cell.membrane,
P18089,Cell.membrane,
Q9GV77,Cell.membrane,test
P70414,Cell.membrane,test
Q7XJT7,Cell.membrane,
O73798,Cell.membrane,
M5A7P9,Cell.membrane,
Q42371,Cell.membrane,
Q9W534,Cell.membrane,
Q8SUG7,Cell.membrane,test
Q868T3,Cell.membrane,test
P40043,Cell.membrane,
Q12791,Cell.membrane,
Q62962,Cell.membrane,
Q4VAE3,Cell.membrane,
Q02013,Cell.membrane,
Q59XM0,Cell.membrane,
Q9Y6L6,Cell.membrane,
A0PJK1,Cell.membrane,
Q9SVQ3,Cell.membrane,
Q9ZUT3,Cell.membrane,
Q8TDU6,Cell.membrane,
Q940Y5,Cell.membrane,
Q00788,Cell.membrane,
Q9HCE9,Cell.membrane,test
Q9JJV4,Cell.membrane,
O88454,Cell.membrane,
O97148,Cell.membrane,
Q3E7D0,Cell.membrane,
Q8WNR0,Cell.membrane,
Q9VSL7,Cell.membrane,
Q9LYN8,Cell.membrane,
Q4KL25,Cell.membrane,
Q99JS0,Cell.membrane,test
Q9U298,Cell.membrane,
Q9FWX6,Cell.membrane,
P13498,Cell.membrane,
P43144,Cell.membrane,
Q9W701,Cell.membrane,test
Q39203,Cell.membrane,
P30302,Cell.membrane,
D3W0D1,Cell.membrane,
O64759,Cell.membrane,
Q9LSR8,Cell.membrane,test
Q03206,Cell.membrane,
O04529,Cell.membrane,
Q6R6I6,Cell.membrane,
Q8LPK4,Cell.membrane,test
O80809,Cell.membrane,
Q9LPT1,Cell.membrane,
Q76JU9,Cell.membrane,
P53708,Cell.membrane,test
O76689,Cell.membrane,
A6NC51,Cell.membrane,
Q9BXA5,Cell.membrane,
Q2PFD7,Cell.membrane,test
Q92637,Cell.membrane,
P23229,Cell.membrane,
Q00959,Cell.membrane,
P36091,Cell.membrane,test
P15260,Cell.membrane,
P15261,Cell.membrane,
Q8JZM4,Cell.membrane,
Q40687,Cell.membrane,
Q91WW5,Cell.membrane,test
Q86TG1,Cell.membrane,
Q9R155,Cell.membrane,
P81909,Cell.membrane,
O61967,Cell.membrane,
Q9Z138,Cell.membrane,
Q9BY07,Cell.membrane,test
P79960,Cell.membrane,
P53835,Cell.membrane,
Q8K1P8,Cell.membrane,
Q8N292,Cell.membrane,
Q8BLA8,Cell.membrane,
P50571,Cell.membrane,
P93604,Cell.membrane,
Q9LFS2,Cell.membrane,test
P30543,Cell.membrane,test
P13385,Cell.membrane,
P12314,Cell.membrane,
Q05777,Cell.membrane,
Q05394,Cell.membrane,test
Q9M2Z1,Cell.membrane,
O80725,Cell.membrane,
