identifier,label
cath|4_2_0|1oaiA00/561-619,Mainly Alpha
cath|4_2_0|3frhA01/-1-56,Mainly Alpha
cath|4_2_0|4g3oA00/446-498,Mainly Alpha
cath|4_2_0|4heoA00/2-56,Mainly Alpha
cath|4_2_0|4wp2F00/600-655,Mainly Alpha
cath|4_2_0|1oksA00/2-55,Mainly Alpha
cath|4_2_0|4f2lA00/284-344,Mainly Alpha
cath|4_2_0|1zv1A00/6-64,Mainly Alpha
cath|4_2_0|2qhoD00/178-226,Mainly Alpha
cath|4_2_0|4un2B00/327-369,Mainly Alpha
cath|4_2_0|1cukA03/156-203,Mainly Alpha
cath|4_2_0|1t6oA00/458-506,Mainly Alpha
cath|4_2_0|2ooaA00/932-973,Mainly Alpha
cath|4_2_0|3lcvB01/8-64,Mainly Alpha
cath|4_2_0|1p3qQ00/398-444,Mainly Alpha
cath|4_2_0|3bbzA00/344-391,Mainly Alpha
cath|4_2_0|3k9oA02/158-200,Mainly Alpha
cath|4_2_0|3e21A00/5-44,Mainly Alpha
cath|4_2_0|3mmpA01/3-55,Mainly Alpha
cath|4_2_0|2ztdA03/146-195,Mainly Alpha
cath|4_2_0|3fe3A03/325-366,Mainly Alpha
cath|4_2_0|2qsfX02/347-395,Mainly Alpha
cath|4_2_0|1xb2B01/56-115,Mainly Alpha
cath|4_2_0|3t6pA02/386-451,Mainly Alpha
cath|4_2_0|3ihpA05/698-749,Mainly Alpha
cath|4_2_0|2h5xA03/146-195,Mainly Alpha
cath|4_2_0|3ihpB05/698-768,Mainly Alpha
cath|4_2_0|1a5tA02/168-207,Mainly Alpha
cath|4_2_0|3h4jA03/299-354,Mainly Alpha
cath|4_2_0|2hwjA02/135-195,Mainly Alpha
cath|4_2_0|3ihpB04/633-680,Mainly Alpha
cath|4_2_0|1tr8A02/78-116,Mainly Alpha
cath|4_2_0|4dbgB02/529-589,Mainly Alpha
cath|4_2_0|1ixrB03/139-191,Mainly Alpha
cath|4_2_0|1g4aE02/110-243,Mainly Alpha
cath|4_2_0|1nv8B01/13-85,Mainly Alpha
cath|4_2_0|1bvsF03/148-199,Mainly Alpha
cath|4_2_0|1im2A02/110-244,Mainly Alpha
cath|4_2_0|4dbgB03/590-627,Mainly Alpha
cath|4_2_0|1g41A02/110-244,Mainly Alpha
cath|4_2_0|4gewA01/21-115,Mainly Alpha
cath|4_2_0|5ji2E02/110-243,Mainly Alpha
cath|4_2_0|1kyiS02/110-244,Mainly Alpha
cath|4_2_0|2b3tA01/1-84,Mainly Alpha
cath|4_2_0|1g3iW02/110-244,Mainly Alpha
cath|4_2_0|1q02A00/1-52,Mainly Alpha
cath|4_2_0|2jy5A00/536-587,Mainly Alpha
cath|4_2_0|2lvnC00/453-504,Mainly Alpha
cath|4_2_0|2mgwA00/908-959,Mainly Alpha
cath|4_2_0|1r4gA00/516-568,Mainly Alpha
cath|4_2_0|2knaA01/22-75,Mainly Alpha
cath|4_2_0|1ifyA00/156-204,Mainly Alpha
cath|4_2_0|1otrA00/6-54,Mainly Alpha
cath|4_2_0|1tteA02/159-215,Mainly Alpha
cath|4_2_0|2jp7A00/543-599,Mainly Alpha
cath|4_2_0|2l4eA00/6-62,Mainly Alpha
cath|4_2_0|1pgyA00/1-47,Mainly Alpha
cath|4_2_0|2ekkA00/1-47,Mainly Alpha
cath|4_2_0|1ufzA01/26-83,Mainly Alpha
cath|4_2_0|1v92A00/1-46,Mainly Alpha
cath|4_2_0|2di0A01/10-55,Mainly Alpha
cath|4_2_0|2ekfA01/9-54,Mainly Alpha
cath|4_2_0|1wglA00/1-59,Mainly Alpha
cath|4_2_0|1wj7A01/19-78,Mainly Alpha
cath|4_2_0|2lvaA01/22-65,Mainly Alpha
cath|4_2_0|2mr9A00/1-44,Mainly Alpha
cath|4_2_0|2g3qA00/1339-1381,Mainly Alpha
cath|4_2_0|1wgnA00/1-63,Mainly Alpha
cath|4_2_0|2dzlA00/1-66,Mainly Alpha
cath|4_2_0|2damA00/1-67,Mainly Alpha
cath|4_2_0|2dnaA00/1-67,Mainly Alpha
cath|4_2_0|2l2dA00/11-83,Mainly Alpha
cath|4_2_0|2daeA00/1-75,Mainly Alpha
cath|4_2_0|2daiA00/1-83,Mainly Alpha
cath|4_2_0|3hx3A01/57-123,Mainly Alpha
cath|4_2_0|1oizB01/11-80,Mainly Alpha
cath|4_2_0|1r5lA01/25-80,Mainly Alpha
cath|4_2_0|3q8gA01/4-82,Mainly Alpha
cath|4_2_0|3hy5A01/23-123,Mainly Alpha
cath|4_2_0|2j5yA00/-7-53,Mainly Alpha
cath|4_2_0|2fs1A00/1-56,Mainly Alpha
cath|4_2_0|1mu5A02/230-307,Mainly Alpha
cath|4_2_0|4itqA00/14-103,Mainly Alpha
cath|4_2_0|1k3xA02/127-262,Mainly Alpha
cath|4_2_0|3gpuA02/134-274,Mainly Alpha
cath|4_2_0|2vqeM01/2-72,Mainly Alpha
cath|4_2_0|3doaA02/166-235,Mainly Alpha
cath|4_2_0|5ituB02/134-282,Mainly Alpha
cath|4_2_0|3jamS01/2-82,Mainly Alpha
cath|4_2_0|3twlA02/146-287,Mainly Alpha
cath|4_2_0|3w0fA02/148-283,Mainly Alpha
cath|4_2_0|4mb7A02/128-274,Mainly Alpha
cath|4_2_0|1i94M01/14-64,Mainly Alpha
