identifier,label
P03265,Little disorder
P03045,Mostly disordered
P00004,Mostly disordered
P27695,Little disorder
Q64693,Mostly disordered
P32774,Little disorder
P13569,Little disorder
P61926,Mostly disordered
P38936,Mostly disordered
P49918,Mostly disordered
P46527,Mostly disordered
P13551,Little disorder
P14061,Little disorder
P03129,Mostly disordered
P14738,Little disorder
P26477,Mostly disordered
Q13541,Mostly disordered
Q07731,Little disorder
P13255,Little disorder
P22121,Little disorder
P05204,Mostly disordered
P17096,Little disorder
P07746,Mostly disordered
P02315,Mostly disordered
P02259,Little disorder
P02687,Mostly disordered
P07214,Mostly disordered
P10688,Little disorder
P11409,Little disorder
P27285,Little disorder
P60881,Mostly disordered
P37840,Mostly disordered
Q8WZ42,Little disorder
P04818,Little disorder
P07248,Little disorder
Q92731,Little disorder
P15337,Little disorder
P51123,Little disorder
P39935,Little disorder
P0ABJ1,Little disorder
Q14722,Little disorder
P04177,Little disorder
Q9HKT1,Little disorder
Q53654,Little disorder
P50440,Little disorder
P0A6H5,Little disorder
P12493,Little disorder
P10587,Little disorder
P09372,Little disorder
P69924,Little disorder
P07598,Little disorder
P40881,Little disorder
P27577,Little disorder
P22239,Mostly disordered
P81455,Mostly disordered
P05059,Mostly disordered
P10163,Mostly disordered
P12957,Little disorder
P01730,Little disorder
Q04207,Little disorder
P07221,Mostly disordered
P15865,Mostly disordered
P0A7L8,Mostly disordered
O95405,Little disorder
P14602,Little disorder
P0A7U3,Little disorder
P03347,Little disorder
P02547,Little disorder
P01112,Little disorder
P29353,Little disorder
P32851,Little disorder
P0CL52,Little disorder
P09803,Little disorder
Q03768,Mostly disordered
P05318,Mostly disordered
P19429,Little disorder
P10114,Little disorder
Q9NVS9,Little disorder
P04049,Little disorder
P16949,Mostly disordered
P42512,Little disorder
Q9Y5B0,Little disorder
P01094,Mostly disordered
P19972,Little disorder
P03087,Little disorder
Q95V77,Mostly disordered
P00747,Little disorder
P02668,Little disorder
P02754,Mostly disordered
P02313,Mostly disordered
P20810,Little disorder
P0A707,Little disorder
P33905,Little disorder
P20963,Mostly disordered
Q82S91,Mostly disordered
P17838,Little disorder
P24592,Little disorder
P10451,Mostly disordered
O60927,Mostly disordered
P17810,Little disorder
P07476,Mostly disordered
P32499,Mostly disordered
P14635,Little disorder
P07293,Little disorder
Q14449,Little disorder
P38398,Mostly disordered
P31896,Little disorder
P0AG63,Mostly disordered
P23025,Little disorder
P00514,Little disorder
P0A877,Little disorder
O31851,Little disorder
Q24298,Little disorder
P02699,Little disorder
P04695,Little disorder
P02458,Little disorder
P0C2E9,Little disorder
Q04656,Little disorder
P16009,Little disorder
Q32NN2,Little disorder
P0C5S4,Little disorder
P10415,Little disorder
P0AE70,Little disorder
P02185,Little disorder
P31751,Little disorder
P51946,Little disorder
P06132,Little disorder
P00533,Little disorder
P62495,Little disorder
P24071,Little disorder
Q9UJY5,Little disorder
O43464,Little disorder
O15350,Little disorder
P05121,Little disorder
Q9UM07,Little disorder
P11309,Little disorder
O75469,Little disorder
P09651,Little disorder
P01099,Mostly disordered
O14832,Little disorder
P02666,Mostly disordered
P21815,Mostly disordered
P27797,Mostly disordered
Q00987,Little disorder
P06968,Little disorder
P16442,Little disorder
P62965,Mostly disordered
P09883,Little disorder
Q9Y6Q9,Little disorder
P62152,Little disorder
P16535,Little disorder
P07140,Little disorder
P04972,Mostly disordered
P45481,Little disorder
P06709,Little disorder
Q56311,Little disorder
O33599,Little disorder
Q99967,Little disorder
P62328,Mostly disordered
Q16222,Little disorder
Q15382,Little disorder
Q9NR00,Mostly disordered
P45577,Little disorder
P22868,Little disorder
P38582,Little disorder
P49841,Little disorder
P25814,Mostly disordered
P09983,Little disorder
P17870,Little disorder
Q09161,Little disorder
P40136,Little disorder
Q9ES89,Little disorder
P07342,Little disorder
P50097,Little disorder
O00204,Little disorder
P07363,Little disorder
P12497,Little disorder
P0A6G1,Little disorder
P0ABS1,Little disorder
P0ABE0,Little disorder
P78504,Little disorder
P03176,Little disorder
P07516,Mostly disordered
P0AFG8,Little disorder
P53350,Little disorder
P32170,Little disorder
P11632,Little disorder
Q9SQZ9,Little disorder
Q01853,Little disorder
P50477,Little disorder
P43351,Little disorder
Q14191,Little disorder
P02511,Little disorder
O35718,Little disorder
P12579,Mostly disordered
Q9Y613,Little disorder
P80457,Little disorder
P84092,Little disorder
Q9Y3D6,Little disorder
Q9Z0U4,Little disorder
Q13485,Little disorder
Q49AN0,Little disorder
Q08826,Little disorder
Q9UBT2,Little disorder
P09938,Little disorder
P49723,Little disorder
Q62165,Little disorder
O60356,Mostly disordered
P56210,Little disorder
Q97ZL0,Little disorder
P60472,Little disorder
P52179,Little disorder
P25054,Little disorder
O95997,Mostly disordered
Q9NQC3,Little disorder
P12950,Mostly disordered
Q08655,Mostly disordered
Q9LZP9,Mostly disordered
Q9VPU8,Mostly disordered
Q14061,Mostly disordered
B0FRH7,Mostly disordered
Q9NX55,Mostly disordered
O00488,Mostly disordered
P02628,Mostly disordered
Q9NZ94,Little disorder
Q9C000,Little disorder
Q16143,Mostly disordered
Q00955,Little disorder
P49354,Little disorder
O66493,Little disorder
P28583,Little disorder
Q9Y296,Little disorder
Q61337,Mostly disordered
Q6P8Z1,Mostly disordered
P63098,Little disorder
P13102,Little disorder
Q07932,Little disorder
P09132,Little disorder
P39900,Little disorder
P03305,Little disorder
P77072,Little disorder
P0AG16,Little disorder
P16006,Little disorder
A2VD23,Mostly disordered
Q9CQK7,Mostly disordered
P27958,Little disorder
P48539,Mostly disordered
Q24246,Little disorder
P42759,Mostly disordered
Q13573,Little disorder
Q22472,Mostly disordered
Q07412,Little disorder
Q9WMX2,Little disorder
P02788,Little disorder
P53954,Little disorder
Q58667,Little disorder
Q68FT9,Little disorder
P00736,Little disorder
P0AG11,Mostly disordered
Q05323,Little disorder
P15309,Little disorder
O76070,Mostly disordered
Q09472,Little disorder
P17120,Little disorder
Q91ZE9,Mostly disordered
P00441,Little disorder
P26039,Little disorder
Q9ZPI5,Little disorder
P31168,Mostly disordered
P42758,Mostly disordered
Q9CX60,Mostly disordered
P81558,Mostly disordered
Q01417,Mostly disordered
P32004,Little disorder
P42763,Mostly disordered
P19250,Little disorder
Q29983,Little disorder
P06935,Little disorder
Q69422,Little disorder
P19711,Little disorder
P11171,Little disorder
Q9IH62,Little disorder
P08067,Little disorder
P30185,Mostly disordered
P45561,Mostly disordered
Q8N488,Mostly disordered
Q9Y258,Little disorder
P46937,Little disorder
P24522,Little disorder
P22943,Mostly disordered
Q9UER7,Little disorder
Q9UGL1,Little disorder
P35521,Little disorder
Q8IRG6,Little disorder
Q9MAA7,Little disorder
Q9LQT8,Little disorder
Q5UPJ7,Little disorder
P02631,Little disorder
Q00496,Little disorder
O08785,Little disorder
Q9UKV8,Little disorder
P03040,Little disorder
Q9TY14,Mostly disordered
C4M0U8,Mostly disordered
Q9BSY4,Little disorder
P27782,Little disorder
Q28181-4,Mostly disordered
P15311,Little disorder
P62326,Mostly disordered
P01252,Mostly disordered
Q9DCL8,Mostly disordered
O14733,Little disorder
P12506,Mostly disordered
P01096,Little disorder
P23632,Little disorder
O60888,Little disorder
Q9L9I0,Little disorder
Q6P3W2,Little disorder
Q9NHC3,Little disorder
A4ZNR2,Mostly disordered
P80428,Little disorder
Q9H981,Little disorder
Q12406,Little disorder
P14340,Little disorder
P9WHN5,Mostly disordered
G8HXD9,Mostly disordered
Q9RY65,Little disorder
P9WF19,Little disorder
P08240,Little disorder
Q57565,Little disorder
Q04660,Little disorder
O75496,Little disorder
A0A0J9X1Q5,Little disorder
I7MK25,Little disorder
Q8GY31,Little disorder
P21583,Little disorder
J8TM36,Little disorder
A0L5S6,Little disorder
P80723,Mostly disordered
P61925,Mostly disordered
O88998,Little disorder
P04859,Little disorder
Q62627,Mostly disordered
Q93009,Little disorder
Q9HAU5,Little disorder
P17677,Mostly disordered
Q9YGY0,Little disorder
P06836,Mostly disordered
P46984,Mostly disordered
P52630,Little disorder
P42224,Little disorder
P0DJ89,Little disorder
P0C6L3,Mostly disordered
P09415,Little disorder
Q60795,Little disorder
Q02548,Little disorder
P46108-2,Mostly disordered
P04578,Little disorder
P0AAC0,Little disorder
P0A4T9,Little disorder
Q05127,Little disorder
P03315,Little disorder
O94742,Mostly disordered
P56254,Little disorder
Q6URW6,Little disorder
Q01101,Little disorder
P27708,Little disorder
P02619,Mostly disordered
A5YV76,Little disorder
Q4DRC4,Little disorder
Q51912,Little disorder
Q99IB8,Little disorder
P73124,Mostly disordered
Q39805,Mostly disordered
I1JLC8,Mostly disordered
Q9S446,Little disorder
Q9FUM5,Mostly disordered
Q9FUW7,Mostly disordered
Q7DB66,Little disorder
Q39532,Little disorder
Q6QCC2,Little disorder
Q8MWS6,Little disorder
Q8GT36,Mostly disordered
A7UMX5,Mostly disordered
Q71FK2,Little disorder
A8CDV5,Mostly disordered
P19599,Mostly disordered
Q6MRH6,Mostly disordered
P42568,Little disorder
O23764,Mostly disordered
Q61548,Little disorder
Q7YUB9,Mostly disordered
Q9C1S9,Little disorder
Q7X2A1,Little disorder
Q7TP21,Little disorder
Q1K7R9,Little disorder
Q9SKI4,Little disorder
Q10Q08,Little disorder
Q1PAB4,Mostly disordered
Q9XES8,Mostly disordered
P96884,Little disorder
B7T1D7,Little disorder
Q9BP38,Little disorder
Q25733,Little disorder
P61244-2,Little disorder
Q16222-2,Little disorder
O00204-2,Little disorder
P10636-8,Mostly disordered
P04370-5,Mostly disordered
Q13698,Little disorder
P46531,Little disorder
P20444,Little disorder
Q13501,Little disorder
P27986,Little disorder
P16333,Little disorder
Q16236,Little disorder
Q03164,Little disorder
O60566,Little disorder
P35222,Little disorder
P24864,Little disorder
Q38825,Little disorder
Q27934,Little disorder
P43403,Little disorder
Q9Y261,Little disorder
P12296,Little disorder
P49757,Little disorder
Q12778,Little disorder
Q00987-11,Little disorder
P10071,Little disorder
P40019,Mostly disordered
A0A0G2JXC5,Little disorder
P38293,Mostly disordered
P70604,Little disorder
O92972,Little disorder
O34800,Mostly disordered
Q9I322,Mostly disordered
A0A068MVV3,Mostly disordered
P03259,Mostly disordered
Q9JK11,Little disorder
P9WI73,Little disorder
O66858,Little disorder
A6NF83,Mostly disordered
Q9UMS4,Little disorder
Q96SD1,Little disorder
O14974,Little disorder
Q9HAN9,Little disorder
P02730,Little disorder
F9UST4,Little disorder
P42768,Little disorder
Q15726,Mostly disordered
Q14978,Mostly disordered
Q8RY59,Little disorder
P22216,Little disorder
O96013,Little disorder
P46669,Little disorder
P34087,Little disorder
Q5XXP4,Little disorder
Q9WUP7-2,Little disorder
P55036,Little disorder
Q9H211,Little disorder
P39007,Little disorder
B9KDD4,Little disorder
O29867,Little disorder
O55000,Little disorder
O75807,Little disorder
Q15797,Little disorder
O43312,Little disorder
Q9UMZ1,Mostly disordered
P55735,Little disorder
P20591,Little disorder
Q9UJX2,Little disorder
P19634,Little disorder
P25638,Little disorder
O76074,Little disorder
P12823,Little disorder
P61073,Little disorder
P01137,Little disorder
P12956,Little disorder
P13010,Little disorder
Q32ZE1,Little disorder
P41208,Little disorder
Q9H816,Little disorder
Q8NG31,Little disorder
Q15691,Little disorder
Q03132,Little disorder
Q6VMQ6,Little disorder
Q68DK7,Little disorder
Q8N5Y2,Little disorder
P05067,Little disorder
Q16576,Little disorder
Q9Y3E7,Little disorder
P24928,Little disorder
Q97W59,Mostly disordered
Q9KMA6,Little disorder
P49768,Little disorder
Q13542,Mostly disordered
Q98XH7,Mostly disordered
Q96273,Mostly disordered
Q9SLJ2,Mostly disordered
P08392,Little disorder
Q03518,Little disorder
Q9BXH1,Little disorder
P50750,Little disorder
Q6NUK1,Little disorder
Q9UMX1,Little disorder
Q9N4U5,Little disorder
Q9QWH1,Little disorder
O60741,Little disorder
Q15796,Little disorder
Q8R316,Little disorder
Q9HCJ0,Little disorder
O43236-6,Little disorder
Q9Y4P1,Little disorder
Q8IV16,Little disorder
Q9C0C7,Little disorder
P28324,Little disorder
P32639,Little disorder
B7T1D9,Little disorder
O94907,Little disorder
Q96B02,Little disorder
P52564,Little disorder
Q13469,Little disorder
P12302,Little disorder
P46014,Little disorder
Q49492,Little disorder
Q24139,Little disorder
Q8WXE9,Little disorder
P01130,Little disorder
Q9Z0P7,Little disorder
G0S4M4,Little disorder
Q06406,Little disorder
Q92913,Little disorder
Q5V913,Little disorder
O61667,Little disorder
P31016,Little disorder
Q16543,Little disorder
Q15004,Mostly disordered
Q09427,Little disorder
C6ZFX3,Mostly disordered
E1UJ20,Mostly disordered
P04052,Little disorder
P31431,Little disorder
O60829,Mostly disordered
P54936,Little disorder
O14936,Little disorder
A5F384,Little disorder
P14921,Little disorder
Q2Q4X9,Mostly disordered
Q9UJX4,Little disorder
Q9Y239,Little disorder
P30281,Little disorder
P10923,Mostly disordered
Q15637,Little disorder
Q9UBU9,Little disorder
Q92973,Little disorder
P41352,Little disorder
P41351,Little disorder
O60563,Little disorder
Q8IW19,Little disorder
Q9SP32,Little disorder
P36118,Mostly disordered
Q6GX35,Little disorder
Q96GU1,Mostly disordered
Q9UJX5,Little disorder
Q9UJX3,Little disorder
P40161,Little disorder
Q9NR61,Little disorder
P22059,Little disorder
Q01097,Little disorder
Q9VMA3,Little disorder
P0AFG0,Little disorder
P0AGB6,Little disorder
P08263,Little disorder
Q9UQC2,Little disorder
Q15418,Little disorder
P03050,Mostly disordered
P53378,Little disorder
Q5RJL0,Mostly disordered
Q9UM11,Little disorder
P15273,Little disorder
Q07889,Little disorder
P04147,Little disorder
O00429,Little disorder
P84634,Little disorder
Q8WV28,Little disorder
M5BF30,Little disorder
P84051,Little disorder
Q99523,Little disorder
P33763,Little disorder
P23443,Little disorder
Q9EPU7,Little disorder
P27682,Mostly disordered
Q9XTY3,Mostly disordered
Q04964,Mostly disordered
Q9UMR2,Little disorder
Q9Z1X4,Little disorder
Q9CXY6,Little disorder
Q12905,Little disorder
B9UCQ5,Little disorder
P12931,Little disorder
Q88QP8,Little disorder
C6KSX0,Little disorder
P34233,Little disorder
P06239,Little disorder
Q868N5,Little disorder
P19880,Little disorder
Q92945,Little disorder
P18212,Little disorder
Q8VHC5,Little disorder
Q9BRG1,Little disorder
P47142,Little disorder
Q86WV6,Little disorder
Q96IZ0,Little disorder
Q12483,Little disorder
Q06208,Little disorder
P29539,Little disorder
O88597,Little disorder
Q14653,Little disorder
P03126,Little disorder
P03070,Little disorder
Q9NR28,Little disorder
P20823,Little disorder
Q06609,Little disorder
Q06433,Little disorder
A0A0H2ZP82,Little disorder
P09038,Little disorder
P20239,Little disorder
P35236,Little disorder
P51449,Little disorder
P84022,Little disorder
P0A7K2,Little disorder
Q96T88,Little disorder
Q09882,Little disorder
P12301,Little disorder
Q548Y4,Little disorder
P12081,Little disorder
Q26680,Little disorder
Q9I1X7,Little disorder
O75928,Little disorder
P06454,Mostly disordered
P02549,Little disorder
Q5VZK9,Little disorder
Q99741,Little disorder
Q07666,Little disorder
O95644,Little disorder
P69490,Little disorder
Q8AVN9,Little disorder
P80644,Little disorder
P52597,Little disorder
P9WNR7,Little disorder
P68688,Little disorder
P05556,Little disorder
P51023,Little disorder
Q13029,Little disorder
P37173,Little disorder
O95718,Little disorder
Q9NQA5,Little disorder
Q9H1D0,Little disorder
P58753,Little disorder
Q8WUG5,Little disorder
Q07912,Little disorder
O54928,Little disorder
Q8GYN5,Mostly disordered
Q3LS93,Mostly disordered
Q05917,Little disorder
Q2JIZ5,Little disorder
Q86UX7,Little disorder
D2JX42,Mostly disordered
A0A1Z3GD05,Mostly disordered
P98177,Little disorder
A0A1Z3GD08,Mostly disordered
Q99ML1,Little disorder
P49790,Little disorder
P49005,Little disorder
Q9I832,Little disorder
P25644,Little disorder
P85800,Mostly disordered
Q6F3E8,Little disorder
O14713,Little disorder
P37330,Little disorder
P08514,Little disorder
P05106,Little disorder
P03404,Little disorder
Q92540,Little disorder
Q13451,Little disorder
P05107,Little disorder
Q9JK66,Little disorder
P10686,Little disorder
P09012,Little disorder
Q96270,Mostly disordered
Q5NJL5,Mostly disordered
P17639,Mostly disordered
P01042,Little disorder
P47047,Little disorder
P35247,Little disorder
P51587,Little disorder
Q99075,Little disorder
Q2GI62,Little disorder
P52926,Mostly disordered
Q96AY2,Little disorder
Q9UPR3,Little disorder
Q9JIH2,Little disorder
Q15596,Little disorder
P0C077,Little disorder
Q9UKT5,Little disorder
P08592,Little disorder
