identifier,label
1vt0O02,Mainly Alpha
5xteG00,Mainly Alpha
5lq3F05,Mainly Alpha
1wn7A02,Alpha Beta
3a07B00,Mainly Beta
2gzaA01,Alpha Beta
2onkC00,Mainly Alpha
4madA03,Mainly Beta
4pe3A00,Alpha Beta
3c5oA00,Mainly Beta
4dloB02,Mainly Alpha
1rh7B01,Special
1vrmA01,Alpha Beta
2csbA02,Special
3m03B00,Mainly Alpha
3sotA02,Mainly Beta
5iybE01,Alpha Beta
3do9C02,Few secondary structures
4malA00,Mainly Alpha
1dofA01,Mainly Alpha
6bogA06,Special
2jh3A03,Alpha Beta
4g54A02,Mainly Alpha
4azwA02,Alpha Beta
2hl7A00,Mainly Alpha
4cfrQ00,Special
3lm3A01,Alpha Beta
3bhwA00,Mainly Alpha
2pnkC02,Mainly Alpha
3vcbA00,Mainly Alpha
2hp7A00,Alpha Beta
4mveB00,Mainly Beta
3hr4C01,Special
2rrfA00,Mainly Beta
2ox7D02,Mainly Beta
2z3xA00,Special
1iq8A02,Alpha Beta
4a56A00,Mainly Alpha
2w4fA00,Mainly Beta
1lj2A00,Mainly Alpha
2igsA00,Mainly Alpha
3zzsA00,Mainly Beta
1xipA00,Mainly Beta
2munA00,Mainly Alpha
4uorC01,Alpha Beta
3fo8D02,Mainly Beta
1jswB03,Mainly Alpha
1jg5A00,Alpha Beta
3u12A00,Mainly Beta
1avoA00,Mainly Alpha
4ekfA00,Alpha Beta
5jd6A00,Alpha Beta
3q23A05,Special
3drxA02,Special
3eeqA01,Alpha Beta
2ymyB00,Mainly Alpha
4l74A02,Mainly Alpha
2cs8A01,Few secondary structures
1m56C01,Mainly Alpha
1ywyA00,Alpha Beta
2qqrA02,Alpha Beta
3o58N02,Special
3mkoA00,Special
4fgoA00,Alpha Beta
2e6hA00,Alpha Beta
3fxeB00,Mainly Alpha
3v9rC00,Mainly Alpha
1wb9A02,Alpha Beta
1sq8A00,Mainly Alpha
3cp2A02,Mainly Beta
3u2sC00,Alpha Beta
6g2jA00,Mainly Alpha
1us5A01,Alpha Beta
3vw4A02,Mainly Alpha
3p01A01,Special
1o8bA01,Alpha Beta
1r8oB01,Mainly Beta
4atvA00,Mainly Alpha
1cv8A00,Alpha Beta
2h63D02,Alpha Beta
4itqA00,Mainly Alpha
1g4uS01,Mainly Alpha
3fb9B00,Mainly Beta
1f3vA00,Alpha Beta
3gcmA02,Mainly Alpha
1vj7B02,Alpha Beta
1jeyA02,Mainly Beta
3ty5B01,Alpha Beta
3dl3B00,Mainly Beta
3l4eA00,Alpha Beta
1x3aA00,Mainly Alpha
1y8aA02,Mainly Alpha
1mg7A02,Alpha Beta
5fo8B03,Mainly Beta
4a4aA02,Alpha Beta
2k85A00,Mainly Alpha
1mwrA01,Alpha Beta
4m4pA02,Mainly Beta
2fcjB00,Alpha Beta
1tteA02,Mainly Alpha
1mjlA00,Mainly Alpha
3k8zA01,Mainly Alpha
1t0fA02,Mainly Alpha
2okuB00,Mainly Alpha
2e1mC01,Alpha Beta
1vyvA02,Alpha Beta
3mqiA00,Mainly Beta
2ynqA00,Mainly Alpha
2gslA00,Mainly Alpha
3n5bB01,Mainly Beta
3rg0A03,Mainly Alpha
2odrC01,Special
1ogdA01,Alpha Beta
1q0vA00,Special
1musA03,Mainly Alpha
3bywA00,Mainly Beta
